risk_id,risk_title,category,risk_owner,likelihood,impact,existing_controls,remediation_action,review_date,status,framework_ref
R001,Unauthorised Access to Customer Data,Cyber Security,CISO,4,5,MFA enforced RBAC implemented,Conduct privileged access review,2026-01-10,Open,ISO 27001 A.5.15
R002,Third-Party Data Breach,Third-Party Risk,Head of TPRM,3,5,Annual supplier assessments,Increase assessment frequency for critical suppliers,2026-02-01,Open,ISO 27001 A.5.19
R003,Ransomware Attack on Core Systems,Cyber Security,CISO,3,5,EDR deployed backups tested,Implement network segmentation,2026-03-15,In Progress,ISO 27001 A.8.13
R004,Regulatory Non-Compliance FCA,Regulatory,Chief Compliance Officer,2,5,Compliance monitoring in place,Update compliance calendar,2026-04-01,Open,FCA SYSC 6.1
R005,AI Model Bias in Credit Decisions,AI Governance,Chief Risk Officer,3,4,Model validation performed annually,Implement continuous monitoring,2026-03-01,Open,ISO 42001
R006,GDPR Cross-Border Data Transfer,Data Privacy,DPO,2,4,SCCs in place for US transfers,Review adequacy decisions,2026-05-01,In Progress,UK GDPR Art.44
R007,Insider Threat Privileged User Abuse,Cyber Security,CISO,2,4,User activity monitoring,Deploy UEBA solution,2026-04-15,Open,ISO 27001 A.5.15
R008,Business Continuity Plan Not Tested,Operational Resilience,COO,2,3,BCP documented and approved,Schedule full BCP exercise in Q2,2026-02-28,Open,ISO 27001 A.5.30
R009,Phishing Attack Leading to Credential Theft,Cyber Security,CISO,4,3,Security awareness training,Deploy anti-phishing simulation,2026-03-20,In Progress,ISO 27001 A.6.3
R010,Cloud Misconfiguration Exposing Data,Cloud Security,Head of Infrastructure,3,3,Cloud security posture tool deployed,Implement automated misconfiguration alerts,2026-06-01,Open,ISO 27001 A.8.9